position_id,party_id,statement_id,position_label,position_numeric,source_type,text_snippet,source_link
IEP0038,SD,2,Tend to agree,1,Latest national election manifesto of the party,"We would fund an increase in all weekly welfare payments to match the projected rate of inflation in 2020,",https://www.socialdemocrats.ie/wp-content/uploads/2023/11/Invest-in-Better-GE2020-1st-Feb.pdf
IEP0039,SD,3,Completely disagree,-2,Latest national election manifesto of the party,PG 121 REVENUE priorities,https://www.socialdemocrats.ie/wp-content/uploads/2023/11/Invest-in-Better-GE2020-1st-Feb.pdf
IEP0040,SD,4,Tend to agree,1,Latest national election manifesto of the party,"Increase Employers’ PRSI on the balance of incomes over €100,000 to give a yield of €175m, Increase Minimum Effective Tax Rate on high end individuals, pg 121",https://www.socialdemocrats.ie/wp-content/uploads/2023/11/Invest-in-Better-GE2020-1st-Feb.pdf
IEP0041,SD,5,Tend to disagree,-1,Latest national election manifesto of the party,The Social Democrats will oppose the planned increase in state pension age to 67 in 2021,https://www.socialdemocrats.ie/wp-content/uploads/2023/11/Invest-in-Better-GE2020-1st-Feb.pdf
IEP0042,SD,6,Tend to agree,1,Other programmatic and official party documentation,Bring down the cost of bills including insurance and energy,https://www.socialdemocrats.ie/wp-content/uploads/2023/11/Cutting-the-Cost-of-Living.pdf
IEP0043,SD,7,Completely agree,2,Latest national election manifesto of the party,historic and unique expansion of civil and social liberties. The marriage equality referendum and gender recognition acts of 2015 were the result of a long and worn road of progress. As a new party our history is not only rooted in these achievements but empowered by it,https://www.socialdemocrats.ie/wp-content/uploads/2023/11/Invest-in-Better-GE2020-1st-Feb.pdf
IEP0044,SD,8,Tend to agree,1,Latest national election manifesto of the party,Examine best practice models regarding decriminalisation of the possession small amount of drugs for personal use in line with the Portuguese model,https://www.socialdemocrats.ie/wp-content/uploads/2023/11/Invest-in-Better-GE2020-1st-Feb.pdf
IEP0045,SD,9,No opinion,,,,
IEP0046,SD,10,Completely disagree,-2,Other programmatic and official party documentation,"n expansion of free contraceptives, abortion services and a period poverty initiative",https://www.socialdemocrats.ie/wp-content/uploads/2023/11/Health-Policy.pdf
IEP0047,SD,11,Tend to disagree,-1,"Recent interviews, press releases and social media communication (from party, party leader and/or leading candidates)","health servive etc would collapse without immigrants, ireland not full.",https://x.com/socdems/status/1757033529764983063?s=12&t=TtBIRQPW4s4Q1XySy4UqMg
